1,Luxembourg,LUXEMBOURG,27.01.2009,0,O
1,Bascharage,BASCHARAGE,27.01.2009,2,N
2,Clemency,CLEMENCY,27.01.2009,2,N
3,Dippach,DIPPACH,27.01.2009,2,O
4,Garnich,GARNICH,27.01.2009,2,O
5,Hobscheid,HOBSCHEID,27.01.2009,2,N
6,Kehlen,KEHLEN,27.01.2009,2,O
7,Koerich,KOERICH,27.01.2009,2,O
8,Kopstal,KOPSTAL,27.01.2009,2,O
9,Mamer,MAMER,27.01.2009,2,O
10,Septfontaines,SEPTFONTAINES,27.01.2009,2,N
11,Steinfort,STEINFORT,27.01.2009,2,O
12,Käerjeng,KAERJENG,01.01.2012,2,O
13,Habscht,HABSCHT,18.10.2017,2,O
1,Bettembourg,BETTEMBOURG,27.01.2009,3,O
2,Differdange,DIFFERDANGE,04.12.2015,3,O
3,Dudelange,DUDELANGE,27.01.2009,3,O
4,Esch-sur-Alzette,ESCH-SUR-ALZETTE,27.01.2009,3,O
5,Frisange,FRISANGE,27.01.2009,3,O
6,Kayl,KAYL,04.12.2015,3,O
7,Leudelange,LEUDELANGE,27.01.2009,3,O
8,Mondercange,MONDERCANGE,27.01.2009,3,O
9,Pétange,PETANGE,14.12.2011,3,O
10,Reckange-sur-Mess,RECKANGE-SUR-MESS,04.12.2015,3,O
11,Roeser,ROESER,27.01.2009,3,O
12,Rumelange,RUMELANGE,27.01.2009,3,O
13,Sanem,SANEM,27.01.2009,3,O
14,Schifflange,SCHIFFLANGE,27.01.2009,3,O
1,Bertrange,BERTRANGE,27.01.2009,4,O
2,Contern,CONTERN,04.12.2015,4,O
3,Hesperange,HESPERANGE,27.01.2009,4,O
4,Niederanven,NIEDERANVEN,27.01.2009,4,O
5,Sandweiler,SANDWEILER,27.01.2009,4,O
6,Schuttrange,SCHUTTRANGE,27.01.2009,4,O
7,Steinsel,STEINSEL,27.01.2009,4,O
8,Strassen,STRASSEN,27.01.2009,4,O
9,Walferdange,WALFERDANGE,27.01.2009,4,O
10,Weiler-la-Tour,WEILER-LA-TOUR,04.12.2015,4,O
1,Colmar-Berg,COLMAR-BERG,04.12.2015,5,O
2,Bissen,BISSEN,27.01.2009,5,O
3,Boevange-sur-Attert,BOEVANGE-SUR-ATTERT,04.12.2015,5,N
4,Fischbach,FISCHBACH,04.12.2015,5,O
5,Heffingen,HEFFINGEN,27.01.2009,5,O
6,Larochette,LAROCHETTE,04.12.2015,5,O
7,Lintgen,LINTGEN,27.01.2009,5,O
8,Lorentzweiler,LORENTZWEILER,27.01.2009,5,O
9,Mersch,MERSCH,27.01.2009,5,O
10,Nommern,NOMMERN,27.01.2009,5,O
11,Tuntange,TUNTANGE,27.01.2009,5,N
12,Helperknapp,HELPERKNAPP,18.10.2017,5,O
1,Wincrange,WINCRANGE,27.01.2009,6,O
3,Clervaux,CLERVAUX,27.01.2009,6,N
4,Consthum,CONSTHUM,27.01.2009,6,N
6,Heinerscheid,HEINERSCHEID,27.01.2009,6,N
7,Hosingen,HOSINGEN,27.01.2009,6,N
8,Munshausen,MUNSHAUSEN,27.01.2009,6,N
9,Troisvierges,TROISVIERGES,27.01.2009,6,O
10,Weiswampach,WEISWAMPACH,04.04.2016,6,O
11,Clervaux,CLERVAUX,04.12.2015,6,O
12,Parc Hosingen,PARC HOSINGEN,01.01.2012,6,O
1,Bastendorf,BASTENDORF,01.02.2000,7,N
2,Bettendorf,BETTENDORF,27.01.2009,7,O
3,Bourscheid,BOURSCHEID,04.12.2015,7,O
4,Diekirch,DIEKIRCH,04.12.2015,7,O
5,Ermsdorf,ERMSDORF,27.01.2009,7,N
6,Erpeldange-sur-Sûre,ERPELDANGE-SUR-SURE,04.12.2015,7,O
7,Ettelbruck,ETTELBRUCK,27.01.2009,7,O
8,Feulen,FEULEN,27.01.2009,7,O
9,Hoscheid,HOSCHEID,27.01.2009,7,N
10,Medernach,MEDERNACH,27.01.2009,7,N
11,Mertzig,MERTZIG,27.01.2009,7,O
12,Reisdorf,REISDORF,27.01.2009,7,O
13,Schieren,SCHIEREN,27.01.2009,7,O
14,Vallée de l'Ernz,VALLEE DE L'ERNZ,04.12.2015,7,O
2,Beckerich,BECKERICH,27.01.2009,8,O
3,Préizerdaul,PREIZERDAUL,27.01.2009,8,O
5,Ell,ELL,27.01.2009,8,O
6,Rambrouch,RAMBROUCH,04.12.2015,8,O
7,Grosbous,GROSBOUS,27.01.2009,8,O
9,Redange/Attert,REDANGE/ATTERT,04.12.2015,8,O
10,Saeul,SAEUL,27.01.2009,8,O
11,Useldange,USELDANGE,27.01.2009,8,O
12,Vichten,VICHTEN,27.01.2009,8,O
13,Wahl,WAHL,04.12.2015,8,O
1,Boulaide,BOULAIDE,27.01.2009,9,O
2,Esch-sur-Sûre,ESCH-SUR-SURE,27.01.2009,9,N
3,Eschweiler,ESCHWEILER,27.01.2009,9,N
4,Goesdorf,GOESDORF,27.01.2009,9,O
5,Lac de la Haute-Sûre,LAC DE LA HAUTE-SURE,27.01.2009,9,O
6,Heiderscheid,HEIDERSCHEID,27.01.2009,9,N
7,Kautenbach,KAUTENBACH,01.02.2000,9,N
9,Neunhausen,NEUNHAUSEN,27.01.2009,9,N
11,Wiltz,WILTZ,27.01.2009,9,N
12,Wilwerwiltz,WILWERWILTZ,01.02.2000,9,N
13,Winseler,WINSELER,27.01.2009,9,O
14,Kiischpelt,KIISCHPELT,27.01.2009,9,O
15,Esch-sur-Sûre,ESCH-SUR-SURE,07.12.2011,9,O
16,Wiltz,WILTZ,04.12.2015,9,O
1,Fouhren,FOUHREN,01.02.2000,10,N
2,Putscheid,PUTSCHEID,04.12.2015,10,O
3,Vianden,VIANDEN,04.12.2015,10,O
4,Tandel,TANDEL,27.01.2009,10,O
1,Beaufort,BEAUFORT,27.01.2009,11,O
2,Bech,BECH,27.01.2009,11,O
3,Berdorf,BERDORF,04.12.2015,11,O
4,Consdorf,CONSDORF,27.01.2009,11,O
5,Echternach,ECHTERNACH,27.01.2009,11,O
6,Mompach,MOMPACH,27.01.2009,11,N
7,Rosport,ROSPORT,04.12.2015,11,N
8,Waldbillig,WALDBILLIG,27.01.2009,11,O
9,Rosport-Mompach,ROSPORT-MOMPACH,18.10.2017,11,O
1,Betzdorf,BETZDORF,27.01.2009,12,O
2,Biwer,BIWER,27.01.2009,12,O
3,Flaxweiler,FLAXWEILER,04.12.2015,12,O
4,Grevenmacher,GREVENMACHER,04.12.2015,12,O
5,Junglinster,JUNGLINSTER,27.01.2009,12,O
6,Manternach,MANTERNACH,27.01.2009,12,O
7,Mertert,MERTERT,27.01.2009,12,O
9,Wormeldange,WORMELDANGE,27.01.2009,12,O
0,Bous,BOUS,01.02.2000,13,O
1,Burmerange,BURMERANGE,27.01.2009,13,N
2,Dalheim,DALHEIM,27.01.2009,13,O
3,Lenningen,LENNINGEN,27.01.2009,13,O
4,Mondorf-les-Bains,MONDORF-LES-BAINS,04.12.2015,13,O
5,Schengen,SCHENGEN,27.01.2009,13,N
6,Remich,REMICH,27.01.2009,13,O
7,Stadtbredimus,STADTBREDIMUS,27.01.2009,13,O
8,Waldbredimus,WALDBREDIMUS,27.01.2009,13,O
9,Wellenstein,WELLENSTEIN,27.01.2009,13,N
10,Schengen,SCHENGEN,07.12.2011,13,O
